temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
1.0030732;0.7928749;2063.914;-6098.1025;-4034.1885;244.71584;0.0;0.0
1.0024239;0.78532547;2061.373;-6101.473;-4040.1;208.16428;0.0;0.0
1.0018499;0.78098255;2059.2676;-6102.631;-4043.3633;188.42496;0.0;0.0
1.0014358;0.77891046;2057.885;-6102.4575;-4044.5725;179.76288;0.0;0.0
1.0012225;0.7781285;2057.323;-6101.735;-4044.4119;176.57475;0.0;0.0
1.0011988;0.7778041;2057.3633;-6101.1387;-4043.7754;174.70496;0.0;0.0
1.0012497;0.77800626;2057.4475;-6100.6025;-4043.155;175.6515;0.0;0.0
1.0012155;0.77869445;2056.9912;-6099.6626;-4042.6714;180.35922;0.0;0.0
1.0009946;0.7810387;2055.8232;-6097.5312;-4041.708;195.6232;0.0;0.0
1.0006382;0.78527707;2054.355;-6093.8438;-4039.4888;221.93356;0.0;0.0
1.0003086;0.7913751;2053.2476;-6089.043;-4035.7954;257.7777;0.0;0.0
1.0001497;0.7985407;2052.859;-6083.834;-4030.975;298.07193;0.0;0.0
1.0001653;0.8056974;2053.0586;-6078.9365;-4025.878;337.14023;0.0;0.0
1.00027;0.8128897;2053.4087;-6074.4253;-4021.0166;376.10425;0.0;0.0
1.0003364;0.82035875;2053.4453;-6069.911;-4016.4658;417.2213;0.0;0.0
1.0002811;0.828346;2053.0012;-6064.9727;-4011.9714;462.15768;0.0;0.0
1.0001248;0.837664;2052.238;-6059.208;-4006.97;515.0707;0.0;0.0
0.999935;0.847821;2051.4956;-6052.708;-4001.2124;572.5695;0.0;0.0
0.99980474;0.85914016;2051.0432;-6045.7656;-3994.7224;635.897;0.0;0.0
0.9997581;0.8706912;2050.9072;-6038.6807;-3987.7734;699.8706;0.0;0.0
0.999772;0.88230646;2050.9297;-6031.6733;-3980.7437;763.88153;0.0;0.0
0.9997907;0.8939966;2050.9233;-6024.6045;-3973.6812;828.36304;0.0;0.0
0.99979264;0.9053205;2050.9106;-6017.5747;-3966.664;890.8375;0.0;0.0
0.99981886;0.91631514;2051.109;-6010.6533;-3959.5444;951.0741;0.0;0.0
0.9999389;0.92620647;2051.799;-6004.4746;-3952.6755;1004.2423;0.0;0.0
1.0002072;0.9345175;2053.087;-5999.5215;-3946.4346;1047.5005;0.0;0.0
1.0006062;0.9399917;2054.8213;-5996.375;-3941.5537;1074.2208;0.0;0.0
1.0010703;0.942776;2056.7402;-5995.165;-3938.4248;1085.7377;0.0;0.0
1.0015415;0.94238025;2058.6904;-5995.834;-3937.1436;1079.6547;0.0;0.0
1.0020093;0.93865913;2060.65;-5998.4697;-3937.8198;1055.2146;0.0;0.0
1.0024723;0.93229616;2062.5508;-6003.0273;-3940.4766;1016.32227;0.0;0.0
1.0028925;0.9231013;2064.198;-6009.1953;-3944.9973;962.3202;0.0;0.0
1.0032125;0.9118757;2065.345;-6016.589;-3951.244;898.1194;0.0;0.0
1.0033761;0.8993507;2065.7856;-6024.427;-3958.641;828.1653;0.0;0.0
1.0033538;0.88665473;2065.5159;-6031.9736;-3966.4578;758.6889;0.0;0.0
1.0031871;0.87459004;2064.7537;-6038.714;-3973.9602;693.679;0.0;0.0
1.0029451;0.8633231;2063.7688;-6044.502;-3980.7332;633.51373;0.0;0.0
1.0026877;0.8533807;2062.7744;-6049.255;-3986.4805;580.67224;0.0;0.0
1.0024529;0.8446187;2061.881;-6053.1094;-3991.2283;534.1382;0.0;0.0
1.0022526;0.836848;2061.13;-6056.223;-3995.0933;492.7872;0.0;0.0
1.0020913;0.8299081;2060.5278;-6058.75;-3998.2222;455.71872;0.0;0.0
1.001965;0.82358855;2060.0825;-6060.7686;-4000.686;421.7586;0.0;0.0
1.0018822;0.8175285;2059.845;-6062.6245;-4002.7795;388.8137;0.0;0.0
1.0018603;0.8117579;2059.9155;-6064.4946;-4004.579;356.8489;0.0;0.0
1.0019258;0.8057186;2060.3528;-6066.7993;-4006.4465;322.66885;0.0;0.0
1.0020698;0.7990344;2061.0273;-6069.83;-4008.8027;284.45795;0.0;0.0
1.0022296;0.7918432;2061.6326;-6073.529;-4011.8962;243.58914;0.0;0.0
1.0023195;0.7849635;2061.857;-6077.3696;-4015.5127;205.20023;0.0;0.0
1.0022882;0.77831286;2061.5967;-6080.9893;-4019.3926;169.04398;0.0;0.0
1.0021514;0.7728468;2060.99;-6083.951;-4022.9612;140.1133;0.0;0.0
1.0019692;0.76847905;2060.3013;-6086.2056;-4025.9043;117.40346;0.0;0.0
1.0018096;0.7652161;2059.7483;-6087.9746;-4028.2263;100.514755;0.0;0.0
1.0016997;0.7630995;2059.3774;-6089.3096;-4029.9321;89.5839;0.0;0.0
1.0016301;0.76167965;2059.103;-6090.451;-4031.3481;82.30241;0.0;0.0
1.001565;0.76077986;2058.8074;-6091.267;-4032.4597;77.931656;0.0;0.0
1.0014867;0.760988;2058.452;-6091.6865;-4033.2346;79.79048;0.0;0.0
1.0013984;0.7619634;2058.0896;-6091.7637;-4033.674;85.89435;0.0;0.0
1.0013244;0.76343894;2057.7932;-6091.568;-4033.7747;94.624344;0.0;0.0
1.0012735;0.7657611;2057.6143;-6091.1694;-4033.5552;107.78822;0.0;0.0
1.0012571;0.76867604;2057.537;-6090.751;-4033.2139;124.01813;0.0;0.0
1.0012497;0.77189577;2057.421;-6090.14;-4032.7192;142.0066;0.0;0.0
1.001205;0.77561164;2057.0996;-6089.324;-4032.2246;163.14133;0.0;0.0
1.0010923;0.78042126;2056.468;-6087.8105;-4031.3425;190.92854;0.0;0.0
1.0009005;0.78673744;2055.538;-6085.333;-4029.795;227.62117;0.0;0.0
1.0006514;0.7940561;2054.4136;-6081.813;-4027.3994;270.23114;0.0;0.0
1.0003754;0.80322015;2053.2021;-6077.009;-4023.8066;323.19162;0.0;0.0
1.0000929;0.8137532;2051.9902;-6071.0454;-4019.0552;383.7032;0.0;0.0
0.9998256;0.825518;2050.8694;-6063.956;-4013.0867;450.82553;0.0;0.0
0.99960023;0.838607;2050.0176;-6055.9375;-4005.92;524.71204;0.0;0.0
0.9994812;0.8520041;2049.7046;-6047.6406;-3997.936;599.2204;0.0;0.0
0.9995281;0.8653735;2050.0908;-6039.717;-3989.626;672.17737;0.0;0.0
