temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
1.3972645e-05;-0.47070035;0.038161963;-9019.063;-9019.025;-2595.893;0.0;0.0
1.39185295e-05;-0.47068313;0.03791594;-9019.095;-9019.057;-2595.7979;0.0;0.0
1.3868817e-05;-0.47070575;0.03768734;-9019.113;-9019.075;-2595.9219;0.0;0.0
1.38219475e-05;-0.47068802;0.03746268;-9019.127;-9019.09;-2595.8237;0.0;0.0
1.3773797e-05;-0.47065806;0.03724531;-9019.148;-9019.111;-2595.6582;0.0;0.0
1.3729827e-05;-0.4706569;0.037041508;-9019.17;-9019.133;-2595.6514;0.0;0.0
1.3687349e-05;-0.47070798;0.036845542;-9019.197;-9019.16;-2595.9326;0.0;0.0
1.3646589e-05;-0.47072622;0.036661103;-9019.227;-9019.189;-2596.0327;0.0;0.0
1.3608989e-05;-0.4706842;0.03648147;-9019.238;-9019.202;-2595.8008;0.0;0.0
1.3570185e-05;-0.4706813;0.036307454;-9019.258;-9019.222;-2595.7844;0.0;0.0
1.3534833e-05;-0.47071832;0.036147546;-9019.277;-9019.241;-2595.9883;0.0;0.0
1.3501983e-05;-0.47069606;0.0359935;-9019.303;-9019.267;-2595.8652;0.0;0.0
1.3469053e-05;-0.47068375;0.03583777;-9019.328;-9019.292;-2595.7969;0.0;0.0
1.3435475e-05;-0.47071606;0.03568907;-9019.344;-9019.308;-2595.9749;0.0;0.0
1.3405479e-05;-0.47068864;0.035552133;-9019.352;-9019.316;-2595.8235;0.0;0.0
1.3376832e-05;-0.47067353;0.035417136;-9019.375;-9019.34;-2595.7397;0.0;0.0
1.3347704e-05;-0.47065556;0.035285644;-9019.394;-9019.358;-2595.6404;0.0;0.0
1.3320471e-05;-0.4706857;0.035158675;-9019.421;-9019.386;-2595.8062;0.0;0.0
1.32932355e-05;-0.47067627;0.035036914;-9019.4375;-9019.402;-2595.7542;0.0;0.0
1.3268208e-05;-0.47066528;0.034919787;-9019.463;-9019.428;-2595.693;0.0;0.0
