temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.9988743;0.5929222;2054.2712;-6150.0225;-4095.7512;-838.697;0.0;0.0;1838.265625
0.99819696;0.6018365;2051.2458;-6150.255;-4099.009;-783.4856;0.0;0.0;1838.265625
0.9972734;0.61343443;2047.5901;-6147.0566;-4099.467;-712.2139;0.0;0.0;1838.265625
0.9963579;0.6282476;2044.3682;-6140.758;-4096.3896;-624.07825;0.0;0.0;1838.265625
0.99570084;0.6446983;2042.4214;-6132.7188;-4090.2974;-529.4626;0.0;0.0;1838.265625
0.99542844;0.66146946;2042.0524;-6124.5664;-4082.5142;-436.23502;0.0;0.0;1838.265625
0.99552315;0.67723614;2042.9232;-6117.465;-4074.5415;-351.02664;0.0;0.0;1838.265625
0.9958088;0.6903952;2044.2354;-6112.0557;-4067.8203;-281.0814;0.0;0.0;1838.265625
0.9960698;0.7020495;2045.2158;-6107.764;-4062.5483;-218.77141;0.0;0.0;1838.265625
0.9961705;0.7122416;2045.5044;-6103.989;-4058.4844;-163.14107;0.0;0.0;1838.265625
0.9960942;0.72269803;2045.1665;-6100.0073;-4054.8408;-104.80015;0.0;0.0;1838.265625
0.99590206;0.7330119;2044.4711;-6095.588;-4051.1167;-46.5303;0.0;0.0;1838.265625
0.9956657;0.7437089;2043.6956;-6090.5127;-4046.8171;14.012291;0.0;0.0;1838.265625
0.9954477;0.75472546;2043.0627;-6085.086;-4042.0232;76.03223;0.0;0.0;1838.265625
0.9952893;0.766059;2042.691;-6079.4404;-4036.7495;139.27768;0.0;0.0;1838.265625
0.9952014;0.77698195;2042.5693;-6073.919;-4031.3496;199.75899;0.0;0.0;1838.265625
0.9951637;0.7875;2042.623;-6068.6396;-4026.0166;257.6567;0.0;0.0;1838.265625
0.9951592;0.79725;2042.7709;-6063.7393;-4020.9683;311.12982;0.0;0.0;1838.265625
0.99516654;0.8066572;2042.9573;-6059.1514;-4016.194;362.63596;0.0;0.0;1838.265625
0.99518466;0.8149632;2043.215;-6055.1187;-4011.9038;407.92673;0.0;0.0;1838.265625
0.9952344;0.82246625;2043.6691;-6051.679;-4008.0103;448.39624;0.0;0.0;1838.265625
0.9953598;0.8284716;2044.5299;-6049.3086;-4004.7788;479.7929;0.0;0.0;1838.265625
0.99561244;0.832406;2045.9624;-6048.5947;-4002.6323;498.62497;0.0;0.0;1838.265625
0.99599504;0.8337294;2047.7168;-6049.8633;-4002.1465;502.41455;0.0;0.0;1838.265625
0.9963577;0.8329885;2049.102;-6052.7544;-4003.6523;495.55844;0.0;0.0;1838.265625
0.99652153;0.83089286;2049.5598;-6056.295;-4006.735;483.08585;0.0;0.0;1838.265625
0.99643207;0.8285338;2049.1333;-6059.596;-4010.463;470.92926;0.0;0.0;1838.265625
0.99619764;0.8266872;2048.3813;-6062.302;-4013.9204;462.24936;0.0;0.0;1838.265625
0.9959858;0.8252381;2047.9143;-6064.7427;-4016.8284;455.19177;0.0;0.0;1838.265625
0.9959029;0.82351947;2047.9386;-6067.4185;-4019.48;445.66525;0.0;0.0;1838.265625
0.99590725;0.821561;2048.0476;-6070.494;-4022.4465;434.64658;0.0;0.0;1838.265625
0.9958217;0.8195667;2047.492;-6073.2153;-4025.7234;424.76022;0.0;0.0;1838.265625
0.9954785;0.8189199;2045.865;-6074.509;-4028.6438;424.44696;0.0;0.0;1838.265625
0.9948895;0.8210224;2043.5066;-6073.6094;-4030.1028;440.75842;0.0;0.0;1838.265625
0.9942342;0.82518286;2041.2404;-6070.5493;-4029.309;468.23502;0.0;0.0;1838.265625
0.9937306;0.8311695;2039.8066;-6066.269;-4026.4624;504.11774;0.0;0.0;1838.265625
0.9934941;0.83707625;2039.4526;-6061.9478;-4022.495;537.4002;0.0;0.0;1838.265625
0.9935016;0.842687;2039.9403;-6058.2305;-4018.29;567.367;0.0;0.0;1838.265625
0.99364996;0.84683317;2040.8317;-6055.67;-4014.8384;588.4495;0.0;0.0;1838.265625
0.9938309;0.84913963;2041.7295;-6054.257;-4012.5273;599.37366;0.0;0.0;1838.265625
0.9939697;0.8501966;2042.4097;-6053.6807;-4011.271;603.84235;0.0;0.0;1838.265625
0.9940419;0.85018444;2042.8;-6053.784;-4010.9841;602.9944;0.0;0.0;1838.265625
0.9940411;0.84948444;2042.863;-6054.1104;-4011.2473;599.0082;0.0;0.0;1838.265625
0.99395996;0.84837717;2042.6223;-6054.3555;-4011.7332;593.38306;0.0;0.0;1838.265625
0.99382144;0.84761167;2042.2053;-6054.3906;-4012.1853;589.99554;0.0;0.0;1838.265625
0.99366707;0.8467656;2041.7911;-6054.26;-4012.4688;586.1578;0.0;0.0;1838.265625
0.99353653;0.8456866;2041.5177;-6054.0195;-4012.502;580.7546;0.0;0.0;1838.265625
0.99344677;0.8446585;2041.3945;-6053.8906;-4012.496;575.3311;0.0;0.0;1838.265625
0.99337345;0.84382737;2041.2617;-6053.788;-4012.5264;571.01306;0.0;0.0;1838.265625
0.9932604;0.8425413;2040.8873;-6053.6133;-4012.726;564.66943;0.0;0.0;1838.265625
0.99305546;0.84221566;2040.1353;-6052.8237;-4012.6885;564.3778;0.0;0.0;1838.265625
0.9927611;0.8429074;2039.0923;-6051.1826;-4012.0903;570.2785;0.0;0.0;1838.265625
0.9924301;0.8444322;2038.0276;-6048.6924;-4010.6648;580.8166;0.0;0.0;1838.265625
0.9921488;0.84696466;2037.318;-6045.658;-4008.3403;596.2021;0.0;0.0;1838.265625
0.9920112;0.8492428;2037.2698;-6042.787;-4005.5173;608.86194;0.0;0.0;1838.265625
0.9920557;0.85062814;2037.913;-6040.8213;-4002.9082;615.2156;0.0;0.0;1838.265625
0.99223804;0.85080814;2038.9365;-6040.0645;-4001.128;614.1611;0.0;0.0;1838.265625
0.9924406;0.8495687;2039.8824;-6040.494;-4000.6118;605.4341;0.0;0.0;1838.265625
0.99256474;0.8474509;2040.4178;-6041.674;-4001.2559;592.68384;0.0;0.0;1838.265625
0.992562;0.84492725;2040.4545;-6043.037;-4002.5825;578.6934;0.0;0.0;1838.265625
0.9924537;0.84239537;2040.1707;-6044.3594;-4004.1887;565.2981;0.0;0.0;1838.265625
0.9923152;0.8397361;2039.905;-6045.597;-4005.6921;551.1639;0.0;0.0;1838.265625
0.99223495;0.8369587;2039.972;-6047.079;-4007.107;535.71313;0.0;0.0;1838.265625
0.99226505;0.8336089;2040.4401;-6049.2793;-4008.8394;516.3039;0.0;0.0;1838.265625
0.992368;0.8294515;2041.06;-6052.294;-4011.234;492.13654;0.0;0.0;1838.265625
0.99245423;0.82425725;2041.4658;-6055.961;-4014.495;462.67984;0.0;0.0;1838.265625
